WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,60,6.1,502.3833333333333,8280.0,6962.966666666666,5055.0,3,498,11,509
A1,1,1,0,0,0,0,211,15.781990521327014,446.18483412322274,10855.0,7352.047393364929,4791.0,5,439,28,454
A1,1,1,0,0,0,0,138,12.217391304347826,867.9347826086956,5070.0,3789.2028985507245,2628.0,5,863,21,874
A1,1,1,0,0,0,0,122,13.147540983606557,768.5737704918033,5727.0,4274.819672131148,2832.0,8,760,19,779
A1,1,1,0,0,0,0,55,15.472727272727273,331.8545454545455,7838.0,6674.745454545455,4810.0,10,330,23,335
A1,1,1,0,0,0,0,176,17.948863636363637,834.9829545454545,4327.0,3204.6704545454545,1977.0,9,829,28,842
A1,1,1,0,0,0,0,108,16.84259259259259,554.6851851851852,5641.0,4651.361111111111,3546.0,10,550,25,560
A1,1,1,0,0,0,0,48,14.145833333333334,374.3125,8726.0,7472.9375,5790.0,11,369,18,380
A1,1,1,0,0,0,0,97,21.329896907216494,468.1443298969072,6704.0,4747.422680412371,3291.0,17,460,26,477
A1,1,1,0,0,0,0,211,31.61137440758294,732.4218009478673,3241.0,2562.165876777251,1888.0,24,725,41,742
A1,1,1,0,0,0,0,183,33.333333333333336,172.97814207650273,7307.0,6042.508196721312,4182.0,24,167,44,180
A1,1,1,0,0,0,0,92,31.706521739130434,603.8804347826087,8482.0,6504.79347826087,4453.0,27,598,38,610
A1,1,1,0,0,0,0,84,31.38095238095238,845.8452380952381,8032.0,5248.738095238095,3723.0,27,841,38,852
A1,1,1,0,0,0,0,75,32.96,71.72,6687.0,5849.12,4847.0,29,67,38,78
A1,1,1,0,0,0,0,145,38.42758620689655,542.9586206896552,4302.0,3589.958620689655,2556.0,31,537,46,550
A1,1,1,0,0,0,0,109,37.88073394495413,705.6880733944954,5032.0,4306.128440366972,3101.0,31,701,46,711
A1,1,1,0,0,0,0,77,41.22077922077922,965.1428571428571,6233.0,5126.025974025974,3617.0,36,961,48,970
A1,1,1,0,0,0,0,45,40.55555555555556,198.6,8383.0,7399.222222222223,6446.0,38,194,44,205
A1,1,1,0,0,0,0,59,44.3728813559322,76.16949152542372,7823.0,6750.440677966101,5408.0,40,72,50,82
A1,1,1,0,0,0,0,65,45.66153846153846,386.5692307692308,7353.0,6352.338461538461,5219.0,41,383,52,391
A1,1,1,0,0,0,0,181,46.005524861878456,887.5690607734807,6649.0,5567.403314917127,3850.0,40,879,53,898
